,,,Average width,Average width,Average width,Std width,Std width,Std width,Coverage,Coverage,Coverage,Spearman Correlation,Spearman Correlation,Spearman Correlation,Pearson Correlation,Pearson Correlation,Pearson Correlation
,,,0.9,0.95,0.99,0.9,0.95,0.99,0.9,0.95,0.99,0.9,0.95,0.99,0.9,0.95,0.99
GP,0.5,1.0,76.54577381952564,91.20991521481163,119.87014773623825,43.04702193673086,51.29369036567001,67.41133601088201,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.6458374381520122,0.6412148279366612,0.6453782533736547,0.7376496012093077,0.7273346998858191,0.7343528999927804
GP,1.5,1.0,29.530921792363248,35.18826368190183,46.24521748756447,57.953155338783716,69.05544383605042,90.75423691737683,0.8809523809523809,0.9047619047619048,0.9285714285714286,0.6884172331259211,0.6911475081549168,0.6820558131914549,0.8043446514285725,0.8109798882024533,0.8081404464674522
GP,2.5,1.0,43.74832548756566,52.12934508858526,68.5095724784461,106.72873785788995,127.17513515447439,167.13645883169676,0.8333333333333334,0.9047619047619048,0.9523809523809523,0.6718120384936705,0.6672061400778333,0.6730723026384448,0.8135710906121396,0.8177955841638416,0.8202257652609088
J+,0.5,1.0,31.78842699885363,45.73495271169728,550.8730389483311,37.1593176629722,48.18829850415543,12.019826169919547,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.28852834752702683,0.39950620812006066,,0.8521434960840327,0.8657582228250388,
J+,1.5,1.0,43.04185438631686,70.60602130814408,667.3271225621079,33.30222108966695,42.20026005331398,3.840511301950183,0.9047619047619048,0.9047619047619048,0.9523809523809523,0.20477193811941788,0.12099818112570787,,0.8635478631618152,0.8301653854542176,
J+,2.5,1.0,33.010615260133456,47.61668070552381,501.0193567094095,32.6355338177188,41.27762130514081,15.89485230898116,0.8809523809523809,0.9285714285714286,0.9523809523809523,0.4842998602859918,0.425273343373653,,0.8746562645479192,0.8909891887562608,
J+GP,0.5,0.5,45.94999856868399,51.66584023924146,114.82188990907146,101.73040508751897,106.14055938610356,170.8345617337584,0.9523809523809523,0.9523809523809523,0.9761904761904762,0.7319246817441708,0.7275042214103329,0.6901439398845565,0.8684812943803051,0.8629443260276212,0.8256559289730905
J+GP,0.5,1.0,54.488169109110785,64.57270127368795,249.0587628447214,85.40698437460068,90.35745170006568,191.67879612173806,0.9523809523809523,0.9523809523809523,0.9761904761904762,0.7433873368297643,0.7480663405708176,0.6981257001776519,0.8635433869799222,0.8656215963236614,0.8204276905521648
J+GP,0.5,1.5,53.186531563541266,64.16334531979567,180.07930450823068,95.03755950955986,105.29352059217791,212.92628164352132,0.9523809523809523,0.9523809523809523,0.9761904761904762,0.7487738814379311,0.7478963611256638,0.7163708390446851,0.8728081454751327,0.8728930889851724,0.8416338344230005
J+GP,1.5,0.5,55.8961278168096,74.15611093042361,376.7789777179008,78.43182118057724,81.82684032443998,151.48945689788601,0.9523809523809523,0.9523809523809523,0.9761904761904762,0.7325321760672306,0.7501736670736829,0.6891125492182801,0.8706252296830556,0.8750568372654726,0.8055401337645572
J+GP,1.5,1.0,42.12372080726167,52.58560105927315,86.8442651426982,105.22226599642357,122.8684378105985,189.49207591078087,0.9523809523809523,0.9761904761904762,0.9761904761904762,0.6986746655809585,0.6855176067455004,0.6837933420016379,0.886979053862871,0.8955939420900368,0.8940171375725957
J+GP,1.5,1.5,83.75721720738737,102.32546856483776,180.78503358493722,236.41193660356524,284.4555311910304,522.9984584868573,0.9761904761904762,1.0,1.0,0.6788346344078987,0.6795963259562926,0.6853370614003828,0.9215742211371425,0.9119362437386315,0.9343317023357302
J+GP,2.5,0.5,39.84653793677799,48.79428910226523,130.71533427300494,86.1520831727054,92.95184971586917,154.8002159678715,0.9523809523809523,0.9761904761904762,0.9761904761904762,0.6942394865573998,0.685360763437822,0.6217009455238011,0.876544630021915,0.8728184164437737,0.8599528564627211
J+GP,2.5,1.0,75.06589926815761,84.6567799930396,151.0537529677501,189.9752058938604,208.41473969891393,363.9875825347114,0.9761904761904762,0.9761904761904762,1.0,0.7103532429353446,0.7063052470301924,0.7110329078853539,0.8784299119870398,0.8533052381738431,0.8322463585743844
J+GP,2.5,1.5,409.5181147573151,667.4092997546035,1287.3740129604064,1326.6588029708332,2173.3256602853307,4143.7222424801785,1.0,1.0,1.0,0.708868649161533,0.6944566668131493,0.6806238882849316,0.8643778005279222,0.8417753187785542,0.83365958810116
J-minmax-GP,0.5,0.5,45.94999856868399,51.66584023924146,114.82188990907146,101.73040508751897,106.14055938610356,170.8345617337584,0.9523809523809523,0.9523809523809523,0.9761904761904762,0.7228985250306781,0.7360089646209484,0.691720521857939,0.87178094542966,0.8638806281528953,0.8282876872814984
J-minmax-GP,0.5,1.0,54.488169109110785,64.57270127368795,249.0587628447214,85.40698437460068,90.35745170006568,191.67879612173806,0.9523809523809523,0.9523809523809523,0.9761904761904762,0.7394329752863459,0.7501840405515062,0.705059237874845,0.8695973397984057,0.8733388904235301,0.8184486773833733
J-minmax-GP,0.5,1.5,53.186531563541266,64.16334531979567,180.07930450823068,95.03755950955986,105.29352059217791,212.92628164352132,0.9523809523809523,0.9523809523809523,0.9761904761904762,0.7488573501475607,0.7390872701190007,0.7074655482630144,0.874691926516935,0.8703089038921459,0.8452345078237935
J-minmax-GP,1.5,0.5,55.8961278168096,74.15611093042361,376.7789777179008,78.43182118057724,81.82684032443998,151.48945689788601,0.9523809523809523,0.9523809523809523,0.9761904761904762,0.7298560553132328,0.7504619746645966,0.6906150662705655,0.8701853541366341,0.8738076471771484,0.8043243291573898
J-minmax-GP,1.5,1.0,42.12372080726167,52.58560105927315,86.8442651426982,105.22226599642357,122.8684378105985,189.49207591078087,0.9523809523809523,0.9761904761904762,0.9761904761904762,0.7004600975963365,0.6903153281438542,0.6783987726997649,0.8872823988315848,0.8913856453265206,0.8906724097653198
J-minmax-GP,1.5,1.5,83.75721720738737,102.32546856483776,180.78503358493722,236.41193660356524,284.4555311910304,522.9984584868573,0.9761904761904762,1.0,1.0,0.6841265196177009,0.6790540726547893,0.6857413723218214,0.9169608205828973,0.9136157843846817,0.9363164424574264
J-minmax-GP,2.5,0.5,39.84653793677799,48.79428910226523,130.71533427300494,86.1520831727054,92.95184971586917,154.8002159678715,0.9523809523809523,0.9761904761904762,0.9761904761904762,0.6947362525421263,0.6927308691267309,0.6213504504568523,0.8703186231547888,0.8772719646801154,0.8508104078025014
J-minmax-GP,2.5,1.0,75.06589926815761,84.6567799930396,151.0537529677501,189.9752058938604,208.41473969891393,363.9875825347114,0.9761904761904762,0.9761904761904762,1.0,0.7067601063569803,0.7046260327551813,0.7089464273491468,0.8725097556181529,0.8601801077519924,0.8323222873784298
J-minmax-GP,2.5,1.5,409.5181147573151,667.4092997546035,1287.3740129604064,1326.6588029708332,2173.3256602853307,4143.7222424801785,1.0,1.0,1.0,0.6994457051372996,0.695442860136334,0.6814064162164879,0.8573733365612213,0.8355143139481035,0.8354323764167657
